type,content,alignment,name,size,visible,delay
text,"<p>In this session, you will hear either “Lap” or “Lab” word on each trial. Press F key on the keyboard by your left index finger if you hear “Lab”. Press J key by your right index finger if you hear “Lap”. If you are not sure, please make the best guess as you can.</p>",center,DiscriminationI_reversekey,,,
text,"<p>Now please read the instruction carefully for the following task. In each trial, you will hear a series of short tones followed by a word. For this task, only pay attention to the word. Your job is to respond whether the word is “Lap” or “Lab”. Press F key on the keyboard by your left index finger if you hear “Lap”. Press J key by your right index finger if you hear “Lab”. If you are not sure, please make the best guess as you can <br /><br />Let's listen to some examples!</p>",center,MainI,,,
text,"<p>Now please read the instruction carefully for the following task. In each trial, you will hear a series of short tones followed by a word. For this task, only pay attention to the word. Your job is to respond whether the word is “Lap” or “Lab”. Press F key on the keyboard by your left index finger if you hear “Lab”. Press J key by your right index finger if you hear “Lap”. If you are not sure, please make the best guess as you can <br /><br />Let's listen to some examples!</p>",center,MainI_reversekey,,,
text,Good job! Take a break.,center,Break,36px,,
audio,300ms_early_delay_2_Sarah_Lab_1.wav,,early_Lab1,,false,0.3
audio,300ms_early_delay_2_Sarah_Lab_2.wav,,early_Lab2,,false,0.3
audio,300ms_early_delay_2_Sarah_Lab_3.wav,,early_Lab3,,false,0.3
audio,300ms_early_delay_2_Sarah_Lab_4.wav,,early_Lab4,,false,0.3
audio,300ms_early_delay_2_Sarah_Lab_5.wav,,early_Lab5,,false,0.3
audio,300ms_early_delay_2_Sarah_Lab_6.wav,,early_Lab6,,false,0.3
audio,300ms_early_delay_2_Sarah_Lab_7.wav,,early_Lab7,,false,0.3
audio,300ms_early_delay_2_Sarah_Lab_8.wav,,early_Lab8,,false,0.3
audio,300ms_late_delay_2_Sarah_Lab_1.wav,,late_Lab1,,false,0.3
audio,300ms_late_delay_2_Sarah_Lab_2.wav,,late_Lab2,,false,0.3
audio,300ms_late_delay_2_Sarah_Lab_3.wav,,late_Lab3,,false,0.3
audio,300ms_late_delay_2_Sarah_Lab_4.wav,,late_Lab4,,false,0.3
audio,300ms_late_delay_2_Sarah_Lab_5.wav,,late_Lab5,,false,0.3
audio,300ms_late_delay_2_Sarah_Lab_6.wav,,late_Lab6,,false,0.3
audio,300ms_late_delay_2_Sarah_Lab_7.wav,,late_Lab7,,false,0.3
audio,300ms_late_delay_2_Sarah_Lab_8.wav,,late_Lab8,,false,0.3
audio,300ms_ontime_delay_2_Sarah_Lab_1.wav,,ontime_Lab1,,false,0.3
audio,300ms_ontime_delay_2_Sarah_Lab_2.wav,,ontime_Lab2,,false,0.3
audio,300ms_ontime_delay_2_Sarah_Lab_3.wav,,ontime_Lab3,,false,0.3
audio,300ms_ontime_delay_2_Sarah_Lab_4.wav,,ontime_Lab4,,false,0.3
audio,300ms_ontime_delay_2_Sarah_Lab_5.wav,,ontime_Lab5,,false,0.3
audio,300ms_ontime_delay_2_Sarah_Lab_6.wav,,ontime_Lab6,,false,0.3
audio,300ms_ontime_delay_2_Sarah_Lab_7.wav,,ontime_Lab7,,false,0.3
audio,300ms_ontime_delay_2_Sarah_Lab_8.wav,,ontime_Lab8,,false,0.3
audio,Sarah_Lab_1.wav,,Lab1,,false,0.3
audio,Sarah_Lab_2.wav,,Lab2,,false,0.3
audio,Sarah_Lab_3.wav,,Lab3,,false,0.3
audio,Sarah_Lab_4.wav,,Lab4,,false,0.3
audio,Sarah_Lab_5.wav,,Lab5,,false,0.3
audio,Sarah_Lab_6.wav,,Lab6,,false,0.3
audio,Sarah_Lab_7.wav,,Lab7,,false,0.3
audio,Sarah_Lab_8.wav,,Lab8,,false,0.3
audio,stim68_cat_meowing.wav,,cat_meowing,,false,0.3
audio,stim347_songbird.wav,,songbird,,false,0.3
audio,Lab.wav,,Lab,,false,0.3
audio,Lap.wav,,Lap,,false,0.3
audio,Back.wav,,Back,,false,0.3
audio,Bag.wav,,Bag,,false,0.3
audio,Beat.wav,,Beat,,false,0.3
audio,Bead.wav,,Bead,,false,0.3
audio,Cab.wav,,Cab,,false,0.3
audio,Cap.wav,,Cap,,false,0.3
audio,Fad.wav,,Fad,,false,0.3
audio,Fat.wav,,Fat,,false,0.3
audio,Lag.wav,,Lag,,false,0.3
audio,Lack.wav,,Lack,,false,0.3
text,"Which of the following listening devices are you currently using? ",center,logistic_headphone2,36px,,
text,"Please use earphones, earbuds or headphones for this study. Are you using any of them now?",center,logistic_headphone1,36px,,
