type,content,alignment,name,size,visible,delay
audio,single_300ms_delay_2_93.wav,,single_300ms_delay_2_93,,false,0.3
audio,single_300ms_delay_2_94.wav,,single_300ms_delay_2_94,,false,0.3
audio,single_300ms_delay_2_95.wav,,single_300ms_delay_2_95,,false,0.3
audio,single_300ms_delay_2_96.wav,,single_300ms_delay_2_96,,false,0.3
audio,single_300ms_short.wav,,single_300ms_short,,false,0.3
audio,single_300ms_long.wav,,single_300ms_long,,false,0.3
text,"<p>Excellent! Now please read the instruction carefully for the following task. In each trial, you will hear a series of short tones followed by a longer tone. For this task, pay attention to the last tone. Your job is to respond whether the last tone feels shorter or longer, press the 'J' key if it is SHORTER or press the 'F' key if it is LONGER. If you are not sure, make your best guess. <br /><br />Let's listen to four examples!</p>",center,General_instruction_reversekey,,,
text,"<p>Before we start the main experiment, let's do a quick test. In each trial, you will hear a tone. Your job is to respond whether this is a longer tone or shorter tone based on the examples, which will be played very soon. Press the 'J' key if it is SHORT or press the 'F' key if it is LONG. If you are not sure, make your best guess. <br /><br />Let's listen to some examples!</p>",center,Pretest_instruction_reversekey,,,
text,"<p>Before we start the main experiment, let's do a quick test. In each trial, you will hear a tone. Your job is to respond whether this is a longer tone or shorter tone based on the examples, which will be played very soon. Press the 'F' key if it is SHORT or press the 'J' key if it is LONG. If you are not sure, make your best guess. <br /><br />Let's listen to some examples!</p>",center,Pretest_instruction,,,
text,"<p> Ok, let's do the quick test now. This will take less than 3 mins. </p>",center,PretestBreak,,,
audio,short_tone_1.wav,,short_tone_1,,false,0.3
audio,long_tone_6.wav,,long_tone_6,,false,0.3
text,Congradulations! You've completed the main task. We just have a few important questions to ask you before you go...,center,Instruction_Q,36px,,
audio,single_300ms_delay_4_51.wav,,single_300ms_delay_4_51,,false,0.3
audio,single_300ms_delay_4_52.wav,,single_300ms_delay_4_52,,false,0.3
audio,single_300ms_delay_4_53.wav,,single_300ms_delay_4_53,,false,0.3
audio,single_300ms_delay_4_54.wav,,single_300ms_delay_4_54,,false,0.3
audio,single_300ms_delay_4_55.wav,,single_300ms_delay_4_55,,false,0.3
audio,single_300ms_delay_4_56.wav,,single_300ms_delay_4_56,,false,0.3
audio,single_300ms_delay_4_81.wav,,single_300ms_delay_4_81,,false,0.3
audio,single_300ms_delay_4_82.wav,,single_300ms_delay_4_82,,false,0.3
audio,single_300ms_delay_4_83.wav,,single_300ms_delay_4_83,,false,0.3
audio,single_300ms_delay_4_84.wav,,single_300ms_delay_4_84,,false,0.3
audio,single_300ms_delay_4_85.wav,,single_300ms_delay_4_85,,false,0.3
audio,single_300ms_delay_4_86.wav,,single_300ms_delay_4_86,,false,0.3
audio,single_300ms_delay_4_91.wav,,single_300ms_delay_4_91,,false,0.3
audio,single_300ms_delay_4_92.wav,,single_300ms_delay_4_92,,false,0.3
audio,single_300ms_delay_4_93.wav,,single_300ms_delay_4_93,,false,0.3
audio,single_300ms_delay_4_94.wav,,single_300ms_delay_4_94,,false,0.3
audio,single_300ms_delay_4_95.wav,,single_300ms_delay_4_95,,false,0.3
audio,single_300ms_delay_4_96.wav,,single_300ms_delay_4_96,,false,0.3
text,Please select number 7.,center,attention_check_number,36px,,
audio,beat.wav,,beat,,false,0.3
audio,bag.wav,,bag,,false,0.3
text,Is there anything else you would like us to know during this experiment?,center,basic3,36px,,
