,index,branch_failpass,expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,session_start_time,stimuli_presented,trial_duration,trial_num,trial_template,task,sub_id,exp,Correct,Shorter,Length
20,23,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_laglack_rv,2012,[],choice-response,Lag,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Lack,2941,24,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,0,0,1
21,24,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_lablap_rv,4754,[],choice-response,Lab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Lap,5697,25,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,0,0,1
22,25,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_bagback_rv,944,[],choice-response,Bag,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Bag,2052,26,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
23,26,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_beadbeat_rv,782,[],choice-response,Bead,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Beat,1755,27,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,0,0,1
24,27,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_bagback_rv,1084,[],choice-response,Bag,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Bag,2257,28,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
25,28,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_laglack_rv,861,[],choice-response,Lag,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Lag,2036,29,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
26,29,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_lablap_rv,933,[],choice-response,Lap,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Lap,1891,30,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,1,1
27,30,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_fadfat_rv,1462,[],choice-response,Fat,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Fat,2578,31,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,1,1
28,31,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_cabcap_rv,759,[],choice-response,Cap,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Cap,1685,32,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,1,1
29,32,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_laglack_rv,1852,[],choice-response,Lag,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Lack,2787,33,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,0,0,1
30,33,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_fadfat_rv,1641,[],choice-response,Fad,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Fad,2966,34,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
31,34,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_beadbeat_rv,1290,[],choice-response,Bead,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Bead,2480,35,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
32,35,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_beadbeat_rv,1551,[],choice-response,Bead,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Beat,2507,36,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,0,0,1
33,36,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_bagback_rv,954,[],choice-response,Back,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Back,1861,37,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,1,1
34,37,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_lablap_rv,1261,[],choice-response,Lab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Lab,2417,38,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
35,38,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_cabcap_rv,682,[],choice-response,Cab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Cab,1815,39,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
36,39,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_laglack_rv,1176,[],choice-response,Lack,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Lack,2096,40,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,1,1
37,40,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_laglack_rv,1218,[],choice-response,Lack,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Lag,2379,41,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,0,1,8
38,41,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_fadfat_rv,792,[],choice-response,Fad,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Fad,2105,42,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
39,42,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_bagback_rv,1010,[],choice-response,Bag,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Bag,2131,43,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
40,43,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_cabcap_rv,2718,[],choice-response,Cap,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Cap,3656,44,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,1,1
41,44,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_lablap_rv,1340,[],choice-response,Lab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Lap,2291,45,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,0,0,1
42,45,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_lablap_rv,600,[],choice-response,Lab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Lab,1760,46,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
43,46,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_cabcap_rv,1040,[],choice-response,Cab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Cab,2205,47,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
44,47,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_fadfat_rv,1415,[],choice-response,Fad,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Fat,2555,48,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,0,0,1
45,48,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_bagback_rv,1721,[],choice-response,Bag,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Back,2636,49,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,0,0,1
46,49,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_beadbeat_rv,895,[],choice-response,Bead,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Beat,1837,50,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,0,0,1
47,50,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_beadbeat_rv,479,[],choice-response,Bead,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Bead,1655,51,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
48,51,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_fadfat_rv,1550,[],choice-response,Fat,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Fat,2654,52,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,1,1
49,52,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_laglack_rv,847,[],choice-response,Lag,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Lag,2006,53,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
50,53,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_beadbeat_rv,464,[],choice-response,Bead,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Bead,1637,54,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
51,54,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_cabcap_rv,598,[],choice-response,Cap,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Cap,1521,55,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,1,1
52,55,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_fadfat_rv,1045,[],choice-response,Fad,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Fad,2366,56,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
53,56,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_cabcap_rv,1150,[],choice-response,Cab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Cab,2277,57,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
54,57,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_beadbeat_rv,909,[],choice-response,Bead,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Beat,1861,58,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,0,0,1
55,58,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_lablap_rv,786,[],choice-response,Lab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Lab,1952,59,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
56,59,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_bagback_rv,971,[],choice-response,Bag,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Bag,2083,60,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
57,60,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_bagback_rv,512,[],choice-response,Back,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Back,1413,61,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,1,1
58,61,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_lablap_rv,1221,[],choice-response,Lab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Lap,2158,62,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,0,0,1
59,62,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_laglack_rv,784,[],choice-response,Lack,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Lack,1717,63,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,1,1
60,63,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_beadbeat_rv,735,[],choice-response,Bead,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Bead,1932,64,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
61,64,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_lablap_rv,1460,[],choice-response,Lap,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Lap,2406,65,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,1,1
62,65,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_beadbeat_rv,809,[],choice-response,Bead,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Beat,1762,66,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,0,0,1
63,66,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_laglack_rv,1729,[],choice-response,Lag,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Lag,2878,67,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
64,67,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_lablap_rv,1030,[],choice-response,Lab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Lab,2194,68,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
65,68,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_fadfat_rv,1293,[],choice-response,Fad,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Fat,2409,69,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,0,0,1
66,69,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_bagback_rv,559,[],choice-response,Bag,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Bag,1661,70,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
67,70,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_bagback_rv,906,[],choice-response,Back,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Back,1813,71,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,1,1
68,71,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_cabcap_rv,663,[],choice-response,Cab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Cab,1797,72,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
