type,content,alignment,size,name,visible,delay
text,Please briefly list the language(s) you use in the following situations: at home; in dorm/apartment; while doing math in your head; while thinking; which one you would use for the rest of your life if you could pick just one. <i>Example response: Home: Spanish; Dorm: English; Math: English; Thinking: English; Rest of life: Italian.</i>,center,36px,LangPrefs,,
audio,speech_Lap.wav,,,Lap,false,0.3
text,"<b>What language</b> are you NEXT most comfortable with using? <b>Who</b> did you learn it from, and starting at <b>what age</b>? (Please be specific, for example, say Mandarin rather than Chinese; American English rather than English.) 

 Example: <i>Spanish, grandmother, starting at age 5</i>",center,36px,NonDomLang,,
text,Please answer these questions for the language you are most comfortable with.,center,36px,NonDomLangQs,,
audio,607affb9d112a7e23c03a96d_stim68_cat_meowing.wav,,,cat_meowing,false,0.3
text,What did you think this experiment was about? Did you notice any recurring patterns?,center,36px,debrief1,,
text,Did you change how you were answering at any time during the study? What did you change?,center,36px,debrief2,,
text,"The target tone in each series of tones were created from the words such as “Add” and “At”. Did you perceive or “feel” them as being words, or did they just sound like musical tones that have nothing to do with words? Answer “Words” or “Musical Tones” here and you will have a chance to describe more in the next question.",center,36px,debrief3,,
text,"The previous question asked whether you perceive or “feel” the sound as being words, or musical tones. Please explain your answer to that question in more details.",center,36px,debrief4,,
audio,300ms_early_delay_2_speech_1.wav,,,early_speech1,false,0.3
audio,300ms_early_delay_2_speech_2.wav,,,early_speech2,false,0.3
audio,300ms_early_delay_2_speech_3.wav,,,early_speech3,false,0.3
audio,300ms_early_delay_2_speech_4.wav,,,early_speech4,false,0.3
audio,300ms_early_delay_2_speech_5.wav,,,early_speech5,false,0.3
audio,300ms_early_delay_2_speech_6.wav,,,early_speech6,false,0.3
audio,300ms_early_delay_2_speech_7.wav,,,early_speech7,false,0.3
audio,300ms_early_delay_2_speech_8.wav,,,early_speech8,false,0.3
audio,300ms_early_delay_2_avg_env_tone_1.wav,,,early_tone1,false,0.3
audio,300ms_early_delay_2_avg_env_tone_2.wav,,,early_tone2,false,0.3
audio,300ms_early_delay_2_avg_env_tone_3.wav,,,early_tone3,false,0.3
audio,300ms_early_delay_2_avg_env_tone_4.wav,,,early_tone4,false,0.3
audio,300ms_early_delay_2_avg_env_tone_5.wav,,,early_tone5,false,0.3
audio,300ms_early_delay_2_avg_env_tone_6.wav,,,early_tone6,false,0.3
audio,300ms_early_delay_2_avg_env_tone_7.wav,,,early_tone7,false,0.3
audio,300ms_early_delay_2_avg_env_tone_8.wav,,,early_tone8,false,0.3
text,"<p>Good job! Ok, let's move on to the real experiment now. <br /> <br /> You won't see or hear the feedback in the following session. It is VERY IMPORTANT that you pay attention to the last sound. Below are my final reminders. <br /><br /> (1) Use your keyboard to respond instead of using your mouse. <br />(2) DON'T THINK. Follow your first intuition to make response ASAP. You cannot get it correct by thinking. <br />(3) The total time will depend on your response time, so try to respond as fast as you can while still getting the right answers. <br />(4) This task is HARD, and thus requires your undivided attention, so please put away your phone or other distractors while doing this experiment. <br /><br /> That's all I have for you. Please try your best! Good luck.</p>",center,,finalreminder,,
audio,300ms_late_delay_2_speech_1.wav,,,late_speech1,false,0.3
audio,300ms_late_delay_2_speech_2.wav,,,late_speech2,false,0.3
audio,300ms_late_delay_2_speech_3.wav,,,late_speech3,false,0.3
audio,300ms_late_delay_2_speech_4.wav,,,late_speech4,false,0.3
audio,300ms_late_delay_2_speech_5.wav,,,late_speech5,false,0.3
audio,300ms_late_delay_2_speech_6.wav,,,late_speech6,false,0.3
audio,300ms_late_delay_2_speech_7.wav,,,late_speech7,false,0.3
audio,300ms_late_delay_2_speech_8.wav,,,late_speech8,false,0.3
audio,300ms_late_delay_2_avg_env_tone_1.wav,,,late_tone1,false,0.3
audio,300ms_late_delay_2_avg_env_tone_2.wav,,,late_tone2,false,0.3
audio,300ms_late_delay_2_avg_env_tone_3.wav,,,late_tone3,false,0.3
audio,300ms_late_delay_2_avg_env_tone_4.wav,,,late_tone4,false,0.3
audio,300ms_late_delay_2_avg_env_tone_5.wav,,,late_tone5,false,0.3
audio,300ms_late_delay_2_avg_env_tone_6.wav,,,late_tone6,false,0.3
audio,300ms_late_delay_2_avg_env_tone_7.wav,,,late_tone7,false,0.3
audio,300ms_late_delay_2_avg_env_tone_8.wav,,,late_tone8,false,0.3
text,"Please use earphones, earbuds or headphones for this study. Are you using any of them now?",center,36px,logistic_headphone1,,
text,"Which of the following listening devices are you currently using? ",center,36px,logistic_headphone2,,
text,"How noisy is your current environment? (1 = Little to no noise, 5 = Very noisy)",center,36px,logistics_noise,,
text,"What instrument(s) do you play (including vocal performance)? How long have you played each one? For examples: Guitar, 6 - 9 years old; Drum, 3 - 20 years old; Vocal, 18 - 20 years old",center,36px,musicbackground1,,
text,"Have you taken any music courseworks? If so, what classes were you taking? How long have you taken them? For example: one quarter of music theory; three quarters of music history; one quarter of music appreciation.",center,36px,musicbackground2,,
text,Please let us know anything about your musical experiences that you think is important but was not addressed in the previous two questions.,center,36px,musicbackground3,,
audio,300ms_ontime_delay_2_speech_1.wav,,,ontime_speech1,false,0.3
audio,300ms_ontime_delay_2_speech_2.wav,,,ontime_speech2,false,0.3
audio,300ms_ontime_delay_2_speech_3.wav,,,ontime_speech3,false,0.3
audio,300ms_ontime_delay_2_speech_4.wav,,,ontime_speech4,false,0.3
audio,300ms_ontime_delay_2_speech_5.wav,,,ontime_speech5,false,0.3
audio,300ms_ontime_delay_2_speech_6.wav,,,ontime_speech6,false,0.3
audio,300ms_ontime_delay_2_speech_7.wav,,,ontime_speech7,false,0.3
audio,300ms_ontime_delay_2_speech_8.wav,,,ontime_speech8,false,0.3
audio,300ms_ontime_delay_2_avg_env_tone_1.wav,,,ontime_tone1,false,0.3
audio,300ms_ontime_delay_2_avg_env_tone_2.wav,,,ontime_tone2,false,0.3
audio,300ms_ontime_delay_2_avg_env_tone_3.wav,,,ontime_tone3,false,0.3
audio,300ms_ontime_delay_2_avg_env_tone_4.wav,,,ontime_tone4,false,0.3
audio,300ms_ontime_delay_2_avg_env_tone_5.wav,,,ontime_tone5,false,0.3
audio,300ms_ontime_delay_2_avg_env_tone_6.wav,,,ontime_tone6,false,0.3
audio,300ms_ontime_delay_2_avg_env_tone_7.wav,,,ontime_tone7,false,0.3
audio,300ms_ontime_delay_2_avg_env_tone_8.wav,,,ontime_tone8,false,0.3
audio,607affb9d112a7e23c03a96d_stim347_songbird.wav,,,songbird,false,0.3
audio,speech_1.wav,,,speech1,false,0.3
audio,speech_2.wav,,,speech2,false,0.3
audio,speech_3.wav,,,speech3,false,0.3
audio,speech_4.wav,,,speech4,false,0.3
audio,speech_5.wav,,,speech5,false,0.3
audio,speech_6.wav,,,speech6,false,0.3
audio,speech_7.wav,,,speech7,false,0.3
audio,speech_8.wav,,,speech8,false,0.3
audio,avg_env_tone_1.wav,,,tone1,false,0.3
audio,avg_env_tone_2.wav,,,tone2,false,0.3
audio,avg_env_tone_3.wav,,,tone3,false,0.3
audio,avg_env_tone_4.wav,,,tone4,false,0.3
audio,avg_env_tone_5.wav,,,tone5,false,0.3
audio,avg_env_tone_6.wav,,,tone6,false,0.3
audio,avg_env_tone_7.wav,,,tone7,false,0.3
audio,avg_env_tone_8.wav,,,tone8,false,0.3
audio,avg_env_tone_Back.wav,,,tone_Back,false,0.3
audio,avg_env_tone_Bag.wav,,,tone_Bag,false,0.3
audio,avg_env_tone_Bead.wav,,,tone_Bead,false,0.3
audio,avg_env_tone_Beat.wav,,,tone_Beat,false,0.3
audio,avg_env_tone_Cab.wav,,,tone_Cab,false,0.3
audio,avg_env_tone_Cap.wav,,,tone_Cap,false,0.3
audio,avg_env_tone_Fad.wav,,,tone_Fad,false,0.3
audio,avg_env_tone_Fat.wav,,,tone_Fat,false,0.3
audio,avg_env_tone_Lab.wav,,,tone_Lab,false,0.3
audio,avg_env_tone_Lack.wav,,,tone_Lack,false,0.3
audio,avg_env_tone_Lag.wav,,,tone_Lag,false,0.3
audio,avg_env_tone_Lap.wav,,,tone_Lap,false,0.3
text,"<p>Before we start the main experiment, let's do a quick test. In each trial, you will hear a tone. Press the corresponding key to indicate whether it is SHORTER or LONGER. If you are not sure, make your best guess. <br /><br />Let's listen to some examples!</p> ",center,,EXP9b_PretestI,,
