type,content,alignment,name,size,visible,delay
audio,607affb9d112a7e23c03a96d_300ms_early_delay_2_Sarah_Lab_6.wav,,early_Lab6,,false,0.3
audio,607affb9d112a7e23c03a96d_300ms_early_delay_2_Sarah_Lab_7.wav,,early_Lab7,,false,0.3
audio,607affb9d112a7e23c03a96d_300ms_early_delay_2_Sarah_Lab_8.wav,,early_Lab8,,false,0.3
audio,607affb9d112a7e23c03a96d_300ms_late_delay_2_Sarah_Lab_1.wav,,late_Lab1,,false,0.3
audio,607affb9d112a7e23c03a96d_300ms_late_delay_2_Sarah_Lab_2.wav,,late_Lab2,,false,0.3
audio,607affb9d112a7e23c03a96d_300ms_late_delay_2_Sarah_Lab_3.wav,,late_Lab3,,false,0.3
audio,607affb9d112a7e23c03a96d_300ms_late_delay_2_Sarah_Lab_4.wav,,late_Lab4,,false,0.3
audio,607affb9d112a7e23c03a96d_300ms_late_delay_2_Sarah_Lab_5.wav,,late_Lab5,,false,0.3
audio,607affb9d112a7e23c03a96d_300ms_late_delay_2_Sarah_Lab_6.wav,,late_Lab6,,false,0.3
audio,607affb9d112a7e23c03a96d_300ms_late_delay_2_Sarah_Lab_7.wav,,late_Lab7,,false,0.3
audio,607affb9d112a7e23c03a96d_300ms_late_delay_2_Sarah_Lab_8.wav,,late_Lab8,,false,0.3
audio,607affb9d112a7e23c03a96d_300ms_ontime_delay_2_Sarah_Lab_1.wav,,ontime_Lab1,,false,0.3
audio,607affb9d112a7e23c03a96d_300ms_ontime_delay_2_Sarah_Lab_2.wav,,ontime_Lab2,,false,0.3
audio,607affb9d112a7e23c03a96d_300ms_ontime_delay_2_Sarah_Lab_3.wav,,ontime_Lab3,,false,0.3
audio,607affb9d112a7e23c03a96d_300ms_ontime_delay_2_Sarah_Lab_4.wav,,ontime_Lab4,,false,0.3
audio,607affb9d112a7e23c03a96d_300ms_ontime_delay_2_Sarah_Lab_5.wav,,ontime_Lab5,,false,0.3
audio,607affb9d112a7e23c03a96d_300ms_ontime_delay_2_Sarah_Lab_6.wav,,ontime_Lab6,,false,0.3
audio,607affb9d112a7e23c03a96d_300ms_ontime_delay_2_Sarah_Lab_7.wav,,ontime_Lab7,,false,0.3
audio,607affb9d112a7e23c03a96d_300ms_ontime_delay_2_Sarah_Lab_8.wav,,ontime_Lab8,,false,0.3
audio,607affb9d112a7e23c03a96d_Sarah_Lab_1.wav,,Lab1,,false,0.3
audio,607affb9d112a7e23c03a96d_Sarah_Lab_2.wav,,Lab2,,false,0.3
audio,607affb9d112a7e23c03a96d_Sarah_Lab_3.wav,,Lab3,,false,0.3
audio,607affb9d112a7e23c03a96d_Sarah_Lab_4.wav,,Lab4,,false,0.3
audio,607affb9d112a7e23c03a96d_Sarah_Lab_5.wav,,Lab5,,false,0.3
audio,607affb9d112a7e23c03a96d_Sarah_Lab_6.wav,,Lab6,,false,0.3
audio,607affb9d112a7e23c03a96d_Sarah_Lab_7.wav,,Lab7,,false,0.3
audio,607affb9d112a7e23c03a96d_Sarah_Lab_8.wav,,Lab8,,false,0.3
audio,607affb9d112a7e23c03a96d_stim68_cat_meowing.wav,,cat_meowing,,false,0.3
audio,607affb9d112a7e23c03a96d_stim347_songbird.wav,,songbird,,false,0.3
audio,607affb9d112a7e23c03a96d_Lab.wav,,Lab,,false,0.3
audio,607affb9d112a7e23c03a96d_Lap.wav,,Lap,,false,0.3
audio,607affb9d112a7e23c03a96d_Back.wav,,Back,,false,0.3
audio,607affb9d112a7e23c03a96d_Bag.wav,,Bag,,false,0.3
audio,607affb9d112a7e23c03a96d_Beat.wav,,Beat,,false,0.3
audio,607affb9d112a7e23c03a96d_Bead.wav,,Bead,,false,0.3
audio,607affb9d112a7e23c03a96d_Cab.wav,,Cab,,false,0.3
audio,607affb9d112a7e23c03a96d_Cap.wav,,Cap,,false,0.3
audio,607affb9d112a7e23c03a96d_Fad.wav,,Fad,,false,0.3
audio,607affb9d112a7e23c03a96d_Fat.wav,,Fat,,false,0.3
audio,607affb9d112a7e23c03a96d_Lag.wav,,Lag,,false,0.3
audio,607affb9d112a7e23c03a96d_Lack.wav,,Lack,,false,0.3
text,"Which of the following listening devices are you currently using? ",center,logistic_headphone2,36px,,
text,"Please use earphones, earbuds or headphones for this study. Are you using any of them now?",center,logistic_headphone1,36px,,
text,"What instrument(s) do you play (including vocal performance)? How long have you played each one? For examples: Guitar, 6 - 9 years old; Drum, 3 - 20 years old; Vocal, 18 - 20 years old",center,musicbackground1,36px,,
text,"Have you taken any music courseworks? If so, what classes were you taking? How long have you taken them? For example: one quarter of music theory; three quarters of music history; one quarter of music appreciation.",center,musicbackground2,36px,,
text,Please let us know anything about your musical experiences that you think is important but was not addressed in the previous two questions.,center,musicbackground3,36px,,
